ID	Tag	Language_ID	Source_Language_ID	Name	Glottocode	Latitude	Longitude	Clade	Location	Quality
brahui_rakhshan	dialect:Brahui:brahui_rakhshan:Rakhsh%C4%81n	Brahui	brahui_rakhshan	Rakhshān	brah1256	28.383675	64.1757536	N. Dravidian	Rakhshān region; glossary entries explicitly labelled Rakhshān by Ali and Kobayashi	C
kurux_lochani	dialect:Kurux:kurux_lochani:Lochani	Kurux	kurux_lochani	Lochani	nepa1253	26.64008	87.31626	N. Dravidian	Lochani, Morang district, Nepal	C
kurux_bhokraha	dialect:Kurux:kurux_bhokraha:Bhokraha	Kurux	kurux_bhokraha	Bhokraha	nepa1253	26.6069849	87.125895	N. Dravidian	Bhokraha, Sunsari district, Nepal	C
kurux_siddhapur	dialect:Kurux:kurux_siddhapur:Siddhapur	Kurux	kurux_siddhapur	Siddhapur	nepa1253	27.16	84.88	N. Dravidian	Siddhapur, Parsa district, Nepal	C
kurux_tokla	dialect:Kurux:kurux_tokla:Tokla	Kurux	kurux_tokla	Tokla	nepa1253	26.72229	88.15386	N. Dravidian	Tokla, Jhapa district, Nepal	C
kudiya_g1	dialect:Kudiya:kudiya_g1:G1	Kudiya	kudiya_g1	G1	kudi1237	12.42149	75.7387543	S. Dravidian I	G1, Madikeri taluk, Kodagu district, Karnataka	C
kudiya_k1	dialect:Kudiya:kudiya_k1:K1	Kudiya	kudiya_k1	K1	kudi1237	12.315	75.09	S. Dravidian I	K1, Hosdurg taluk, Kasargod district, Kerala	C
pottangi	dialect:Gadaba:pottangi:Pottangi	Gadaba	pottangi	Pottangi	mudh1235	18.5685	82.9757	C. Dravidian	Pottangi, India	C
koya	dialect:Gondi:koya:Koya	Gondi	koya	Koya	koya1251	17.68	81.21	S. Dravidian II	Koya, India	C
gommu	dialect:Gondi:gommu:Koya%20%28Gommu%29	Gondi	gommu	Koya (Gommu)	koya1251	17.611837	81.032816	S. Dravidian II	Koya (Gommu), India	C
adil	dialect:Gondi:adil:Adilabad	Gondi	adil	Adilabad	gond1265	19.67	78.53	S. Dravidian II	Adilabad, India	C
chanda	dialect:Gondi:chanda:Chandrapur	Gondi	chanda	Chandrapur	gond1265	19.95	79.297	S. Dravidian II	Chandrapur, India	C
maria	dialect:Gondi:maria:Maria	Gondi	maria	Maria	mari1414	19.79	79.91	S. Dravidian II	Maria, India	C
betul	dialect:Gondi:betul:Betul	Gondi	betul	Betul	gond1265	21.92	77.9	S. Dravidian II	Betul, India	C
mandla	dialect:Gondi:mandla:Mandla	Gondi	mandla	Mandla	gond1265	22.6	80.38	S. Dravidian II	Mandla, India	C
yavatmal	dialect:Gondi:yavatmal:Yavatmal	Gondi	yavatmal	Yavatmal	gond1265	20.1	78.2	S. Dravidian II	Yavatmal, India	C
seoni	dialect:Gondi:seoni:Seoni	Gondi	seoni	Seoni	gond1265	22.09	79.55	S. Dravidian II	Seoni, India	C
durg	dialect:Gondi:durg:Durg	Gondi	durg	Durg	gond1265	21.183333	81.283333	S. Dravidian II	Durg, India	C
muria	dialect:Gondi:muria:Muria	Gondi	muria	Muria	muri1262	20.14	80.89	S. Dravidian II	Muria, India	C
halakki	dialect:Kannada:halakki:Halakki	Kannada	halakki	Halakki	nucl1305	14.6	74.7	S. Dravidian I	Halakki, India	C
havyaka	dialect:Kannada:havyaka:Havyaka	Kannada	havyaka	Havyaka	havy1234	13.166667	75.5	S. Dravidian I	Havyaka, India	C
pampa	dialect:pampa:pampa:Pampa%20Bharata	pampa	pampa	Pampa Bharata	oldk1250	13.24	75.82	S. Dravidian I	Pampa Bharata, India	C
gowda	dialect:Kannada:gowda:Gowda%2FArebhashe	Kannada	gowda	Gowda/Arebhashe	areb1239	12.5975	75.848333	S. Dravidian I	Gowda/Arebhashe, India	C
gulbarga	dialect:Kannada:gulbarga:Gulbarga	Kannada	gulbarga	Gulbarga	nucl1305	17.329	76.825	S. Dravidian I	Gulbarga, India	C
nanjangud	dialect:Kannada:nanjangud:Nanjangud	Kannada	nanjangud	Nanjangud	nucl1305	12.12	76.68	S. Dravidian I	Nanjangud, India	C
barkur	dialect:Kannada:barkur:Barkur	Kannada	barkur	Barkur	nucl1305	13.4668	74.7498	S. Dravidian I	Barkur, India	C
